module,gene
yellow,ENSDARG00000001442
yellow,ENSDARG00000002369
yellow,ENSDARG00000002748
yellow,ENSDARG00000002750
yellow,ENSDARG00000003326
yellow,ENSDARG00000003934
yellow,ENSDARG00000004311
yellow,ENSDARG00000004459
yellow,ENSDARG00000005356
yellow,ENSDARG00000006791
yellow,ENSDARG00000010385
yellow,ENSDARG00000010420
yellow,ENSDARG00000010727
yellow,ENSDARG00000011703
yellow,ENSDARG00000011890
yellow,ENSDARG00000016536
yellow,ENSDARG00000016830
yellow,ENSDARG00000016835
yellow,ENSDARG00000017739
yellow,ENSDARG00000017780
yellow,ENSDARG00000019063
yellow,ENSDARG00000019566
yellow,ENSDARG00000021135
yellow,ENSDARG00000022213
yellow,ENSDARG00000022509
yellow,ENSDARG00000024831
yellow,ENSDARG00000025672
yellow,ENSDARG00000025914
yellow,ENSDARG00000027129
yellow,ENSDARG00000027153
yellow,ENSDARG00000027529
yellow,ENSDARG00000029291
yellow,ENSDARG00000029524
yellow,ENSDARG00000030626
yellow,ENSDARG00000031317
yellow,ENSDARG00000031600
yellow,ENSDARG00000032469
yellow,ENSDARG00000033380
yellow,ENSDARG00000034007
yellow,ENSDARG00000034883
yellow,ENSDARG00000034940
yellow,ENSDARG00000035506
yellow,ENSDARG00000035732
yellow,ENSDARG00000035798
yellow,ENSDARG00000036105
yellow,ENSDARG00000036678
yellow,ENSDARG00000037373
yellow,ENSDARG00000037487
yellow,ENSDARG00000037738
yellow,ENSDARG00000037968
yellow,ENSDARG00000038508
yellow,ENSDARG00000038742
yellow,ENSDARG00000040485
yellow,ENSDARG00000041381
yellow,ENSDARG00000041382
yellow,ENSDARG00000041910
yellow,ENSDARG00000042872
yellow,ENSDARG00000043238
yellow,ENSDARG00000045139
yellow,ENSDARG00000045611
yellow,ENSDARG00000045754
yellow,ENSDARG00000045765
yellow,ENSDARG00000045864
yellow,ENSDARG00000052104
yellow,ENSDARG00000052512
yellow,ENSDARG00000052775
yellow,ENSDARG00000053127
yellow,ENSDARG00000053480
yellow,ENSDARG00000054023
yellow,ENSDARG00000054031
yellow,ENSDARG00000054058
yellow,ENSDARG00000054343
yellow,ENSDARG00000054543
yellow,ENSDARG00000054963
yellow,ENSDARG00000055510
yellow,ENSDARG00000056294
yellow,ENSDARG00000056805
yellow,ENSDARG00000057141
yellow,ENSDARG00000057231
yellow,ENSDARG00000057527
yellow,ENSDARG00000057729
yellow,ENSDARG00000058103
yellow,ENSDARG00000058357
yellow,ENSDARG00000059150
yellow,ENSDARG00000059337
yellow,ENSDARG00000059442
yellow,ENSDARG00000059858
yellow,ENSDARG00000059960
yellow,ENSDARG00000060081
yellow,ENSDARG00000060169
yellow,ENSDARG00000060482
yellow,ENSDARG00000061000
yellow,ENSDARG00000061101
yellow,ENSDARG00000062222
yellow,ENSDARG00000068242
yellow,ENSDARG00000068982
yellow,ENSDARG00000069074
yellow,ENSDARG00000070590
yellow,ENSDARG00000070666
yellow,ENSDARG00000070957
yellow,ENSDARG00000071304
yellow,ENSDARG00000074075
yellow,ENSDARG00000074526
yellow,ENSDARG00000074686
yellow,ENSDARG00000074761
yellow,ENSDARG00000075299
yellow,ENSDARG00000075837
yellow,ENSDARG00000076040
yellow,ENSDARG00000076055
yellow,ENSDARG00000076135
yellow,ENSDARG00000076437
yellow,ENSDARG00000077224
yellow,ENSDARG00000077666
yellow,ENSDARG00000077737
yellow,ENSDARG00000078210
yellow,ENSDARG00000078440
yellow,ENSDARG00000078536
yellow,ENSDARG00000078755
yellow,ENSDARG00000078762
yellow,ENSDARG00000079029
yellow,ENSDARG00000079216
yellow,ENSDARG00000079397
yellow,ENSDARG00000079802
yellow,ENSDARG00000079881
yellow,ENSDARG00000086133
yellow,ENSDARG00000087911
yellow,ENSDARG00000087994
yellow,ENSDARG00000088584
yellow,ENSDARG00000089529
yellow,ENSDARG00000089742
yellow,ENSDARG00000089844
yellow,ENSDARG00000090930
yellow,ENSDARG00000090973
yellow,ENSDARG00000091131
yellow,ENSDARG00000091576
yellow,ENSDARG00000092354
yellow,ENSDARG00000092759
yellow,ENSDARG00000093357
yellow,ENSDARG00000093677
yellow,ENSDARG00000094300
yellow,ENSDARG00000094965
yellow,ENSDARG00000095048
yellow,ENSDARG00000095328
yellow,ENSDARG00000096701
yellow,ENSDARG00000096843
yellow,ENSDARG00000097938
yellow,ENSDARG00000098051
yellow,ENSDARG00000098350
yellow,ENSDARG00000098661
yellow,ENSDARG00000098817
yellow,ENSDARG00000098911
yellow,ENSDARG00000098925
yellow,ENSDARG00000099376
yellow,ENSDARG00000099646
yellow,ENSDARG00000099793
yellow,ENSDARG00000100162
yellow,ENSDARG00000100179
yellow,ENSDARG00000100829
yellow,ENSDARG00000101008
yellow,ENSDARG00000101567
yellow,ENSDARG00000101949
yellow,ENSDARG00000101984
yellow,ENSDARG00000102924
yellow,ENSDARG00000103013
yellow,ENSDARG00000103259
yellow,ENSDARG00000103413
yellow,ENSDARG00000103505
yellow,ENSDARG00000103736
yellow,ENSDARG00000103743
yellow,ENSDARG00000103937
yellow,ENSDARG00000104118
yellow,ENSDARG00000104936
yellow,ENSDARG00000104980
yellow,ENSDARG00000105239
yellow,ENSDARG00000110020
yellow,ENSDARG00000110426
yellow,ENSDARG00000110961
yellow,ENSDARG00000111326
yellow,ENSDARG00000114306
yellow,ENSDARG00000114704
yellow,ENSDARG00000117400
yellow,ENSDARG00000117643
yellow,ENSDARG00000117770
