Gene stable ID	NCBI gene ID
ENSDARG00000101445	55975
ENSDARG00000070916	51277
ENSDARG00000017111	51439
ENSDARG00000015765	285148
ENSDARG00000099791	5165
ENSDARG00000063895	4535
ENSDARG00000023771	2562
ENSDARG00000045420	54749
ENSDARG00000063899	4536
ENSDARG00000076386	54749
ENSDARG00000063917	4538
ENSDARG00000105502	3009
ENSDARG00000104768	8227
ENSDARG00000063911	4508
ENSDARG00000078962	90527
ENSDARG00000103498	54749
ENSDARG00000063905	4512
ENSDARG00000063921	4540
ENSDARG00000004308	51439
ENSDARG00000044694	2533
ENSDARG00000093093	6868
ENSDARG00000017365	9962
ENSDARG00000077026	353345
ENSDARG00000070730	2558
ENSDARG00000014527	5165
ENSDARG00000077288	2533
ENSDARG00000043213	6868
ENSDARG00000086874	2533
ENSDARG00000063908	4513
ENSDARG00000063924	4519
ENSDARG00000063914	4537
ENSDARG00000055539	54749
ENSDARG00000020618	102724023
ENSDARG00000037109	102724159
ENSDARG00000063912	4514
ENSDARG00000045556	161725
ENSDARG00000035949	54664
ENSDARG00000063922	4541
ENSDARG00000105418	8357
ENSDARG00000060849	22839
ENSDARG00000030133	8468
ENSDARG00000012823	22839
ENSDARG00000062204	59307
ENSDARG00000102022	8468
ENSDARG00000098645	9104
ENSDARG00000086805	223075
ENSDARG00000069030	390598
ENSDARG00000029874	3795
ENSDARG00000105418	8354
ENSDARG00000105418	8356
ENSDARG00000090381	5330
ENSDARG00000027234	8100
ENSDARG00000062448	390598
ENSDARG00000008030	10398
ENSDARG00000060500	79944
ENSDARG00000051761	54765
ENSDARG00000059333	56243
ENSDARG00000011673	221806
ENSDARG00000079900	57477
ENSDARG00000075435	11215
ENSDARG00000058357	651746
ENSDARG00000038123	10398
ENSDARG00000098158	56265
ENSDARG00000045846	55644
ENSDARG00000075072	26015
ENSDARG00000040854	7251
ENSDARG00000092172	56243
ENSDARG00000116781	8363
ENSDARG00000062972	3092
ENSDARG00000011897	7251
ENSDARG00000098249	438
ENSDARG00000078962	405753
ENSDARG00000015589	651746
ENSDARG00000005251	729020
ENSDARG00000112644	140873
ENSDARG00000099679	167153
ENSDARG00000030270	7140
ENSDARG00000057789	84569
ENSDARG00000043307	79644
ENSDARG00000052402	29947
ENSDARG00000102832	9031
ENSDARG00000029609	28992
ENSDARG00000063882	90639
ENSDARG00000077073	85461
ENSDARG00000075597	23769
ENSDARG00000095273	1351
ENSDARG00000053248	9118
ENSDARG00000039490	5306
ENSDARG00000071494	2492
ENSDARG00000090338	56975
ENSDARG00000037607	140688
ENSDARG00000095180	29
ENSDARG00000025850	6227
ENSDARG00000019741	896
ENSDARG00000024229	84993
ENSDARG00000087981	6538
ENSDARG00000011462	55611
ENSDARG00000075606	6048
ENSDARG00000086950	153478
ENSDARG00000061774	284428
ENSDARG00000061774	653656
ENSDARG00000061774	125997
ENSDARG00000031637	255967
ENSDARG00000074317	56975
ENSDARG00000007494	140873
ENSDARG00000035185	8326
ENSDARG00000045444	8325
ENSDARG00000009764	140890
ENSDARG00000055536	55611
ENSDARG00000037491	9210
ENSDARG00000061946	54939
ENSDARG00000104285	79591
ENSDARG00000100850	7844
ENSDARG00000089190	85461
ENSDARG00000102975	51617
ENSDARG00000017880	30818
ENSDARG00000057863	29947
ENSDARG00000013839	222
ENSDARG00000091413	29928
ENSDARG00000038064	100526767
ENSDARG00000038064	51652
ENSDARG00000070755	1237
